name,gene,NT1,NT2,NT3,NaP1,NaP2,NaP3
ENSB:UpO0t3BJkEsgWZt,ENSB:UpO0t3BJkEsgWZt,0,0,0,0,0,0
ENSB:6w4yC5V1q95QRTN,ENSB:6w4yC5V1q95QRTN,2,6,1,0,2,4
ENSB:39tQOP9buw0B70S,ENSB:39tQOP9buw0B70S,2,4,5,12,4,4
ENSB:5LDqMmVECo2m_6j,ENSB:5LDqMmVECo2m_6j,0,0,0,0,0,0
ENSB:1gPst_nNiluY2j5,ENSB:1gPst_nNiluY2j5,2,2,2,2,2,2
ENSB:PiZJF9l-mGyN5Yw,ENSB:PiZJF9l-mGyN5Yw,30,30,16,56,57,73
ENSB:wIbYbydX2hN81lf,ENSB:wIbYbydX2hN81lf,6,21,18,32,27,28
ENSB:C500kCdUP1Tro42,ENSB:C500kCdUP1Tro42,27,25,26,57,36,37
ENSB:DONA2nwMUDRC_nV,ENSB:DONA2nwMUDRC_nV,0,2,0,6,0,4
ENSB:ofXUEx6-Bp5PoL3,ENSB:ofXUEx6-Bp5PoL3,4,2,0,12,11,10
ENSB:0Eisi2nBHFmtU_M,ENSB:0Eisi2nBHFmtU_M,20,17,7,16,21,28
ENSB:bqhFQKrUJ6QN-UM,ENSB:bqhFQKrUJ6QN-UM,31,30,32,69,58,39
ENSB:CKdDG_WSxmDJ9Bs,ENSB:CKdDG_WSxmDJ9Bs,64,54,73,112,82,122
ENSB:iM04_-Qybj0BqjG,ENSB:iM04_-Qybj0BqjG,124,148,162,107,100,124
ENSB:dRTLYj0tV2uwA7Z,ENSB:dRTLYj0tV2uwA7Z,18,4,8,8,12,13
ENSB:PdhY2ggThvZgenX,ENSB:PdhY2ggThvZgenX,4,2,0,2,0,2
ENSB:TdSUffZ62X05q_0,ENSB:TdSUffZ62X05q_0,621,646,932,40,28,28
ENSB:O8cFsNVn-AOhAka,ENSB:O8cFsNVn-AOhAka,3900,3894,4262,221,203,151
ENSB:usFmUTWIKrOhoik,ENSB:usFmUTWIKrOhoik,0,0,0,0,0,0
ENSB:Ya5ipwYW6zTH-wl,ENSB:Ya5ipwYW6zTH-wl,0,0,2,0,0,0
ENSB:FoLyJehw3RcCuk3,ENSB:FoLyJehw3RcCuk3,2,0,2,2,1,4
ENSB:rXwiV-_LHGiwCSe,ENSB:rXwiV-_LHGiwCSe,2,0,0,0,0,0
